지점명,주소,주소1,주소2,주소3
망우,서울특별시 중랑구 봉우재로 239 천우빌딩,서울특별시,중랑구,봉우재로 239 천우빌딩
울산세이브존,울산광역시 남구 번영로250번길 9,울산광역시,남구,번영로250번길 9
NC강서,서울특별시 강서구 강서로56길 17,서울특별시,강서구,강서로56길 17
영광,전라남도 영광군 영광읍 신남로 185-2,전라남도,영광군,영광읍 신남로 185-2
광주동강대,광주광역시 북구 동문대로 69,광주광역시,북구,동문대로 69
상계,서울특별시 노원구 한글비석로 369 코끼리약국,서울특별시,노원구,한글비석로 369 코끼리약국
대구동호D/T,대구광역시 동구 안심로 288,대구광역시,동구,안심로 288
청양,충청남도 청양군 청양읍 중앙로 147,충청남도,청양군,청양읍 중앙로 147
부산미남역,부산광역시 동래구 아시아드대로 234,부산광역시,동래구,아시아드대로 234
오이도D/I,경기도 시흥시 정왕신길로49번길 53,경기도,시흥시,정왕신길로49번길 53
일산킨텍스,경기도 고양시 일산서구 킨텍스로 217-59,경기도,고양시,일산서구 킨텍스로 217-59
인천청라,인천광역시 서구 중봉대로 587,인천광역시,서구,중봉대로 587
신경주역사,경상북도 경주시 건천읍 신경주역로 80,경상북도,경주시,건천읍 신경주역로 80
부산명지,부산광역시 강서구 명지오션시티11로 74,부산광역시,강서구,명지오션시티11로 74
상암,서울특별시 마포구 월드컵북로 402 KGIT 센터,서울특별시,마포구,월드컵북로 402 KGIT 센터
방학,서울특별시 도봉구 방학로 173,서울특별시,도봉구,방학로 173
시흥월곶,경기도 시흥시 월곶중앙로 61,경기도,시흥시,월곶중앙로 61
대구스타디움,대구광역시 수성구 유니버시아드로 140,대구광역시,수성구,유니버시아드로 140
문막,강원도 원주시 문막읍 원문로 1587,강원도,원주시,문막읍 원문로 1587
강일,서울특별시 강동구 아리수로93길 33-9 강일프라자,서울특별시,강동구,아리수로93길 33-9 강일프라자
마산내서,경상남도 창원시 마산회원구 내서읍 삼계로 1 롯데리아,경상남도,창원시,마산회원구 내서읍 삼계로 1 롯데리아
종암,서울특별시 성북구 종암로 93,서울특별시,성북구,종암로 93
광양마동,전라남도 광양시 사동로 179,전라남도,광양시,사동로 179
구파발역,서울특별시 은평구 진관2로 15-40,서울특별시,은평구,진관2로 15-40
