"행정구역(시군구)별",2021. 03,2021. 03,2021. 03,2021. 04,2021. 04,2021. 04,2021. 05,2021. 05,2021. 05
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51705905,25787390,25918515,51702100,25784538,25917562,51683025,25775853,25907172
"서울특별시",9598484,4667524,4930960,9588711,4661711,4927000,9575355,4654720,4920635
"부산광역시",3372399,1651804,1720595,3369704,1650252,1719452,3367334,1648965,1718369
"대구광역시",2408875,1188070,1220805,2406296,1186663,1219633,2402940,1184977,1217963
"인천광역시",2936461,1470750,1465711,2936214,1470490,1465724,2936382,1470528,1465854
"광주광역시",1445473,715226,730247,1444787,714834,729953,1443154,714101,729053
"대전광역시",1458463,728075,730388,1457619,727522,730097,1457161,727279,729882
"울산광역시",1129254,580424,548830,1128163,579853,548310,1127175,579316,547859
"세종특별자치시",360462,180030,180432,361396,180462,180934,362036,180778,181258
"경기도",13465837,6776866,6688971,13479798,6784466,6695332,13488910,6789327,6699583
"강원도",1536399,773248,763151,1536175,773037,763138,1535491,772893,762598
"충청북도",1595714,809457,786257,1596303,809679,786624,1596955,809946,787009
"충청남도",2115823,1080841,1034982,2116452,1081275,1035177,2117260,1081854,1035406
"전라북도",1797450,893974,903476,1796331,893415,902916,1794682,892833,901849
"전라남도",1844811,927884,916927,1844148,927667,916481,1842423,927074,915349
"경상북도",2635563,1327990,1307573,2635896,1328240,1307656,2633592,1327307,1306285
"경상남도",3330463,1677021,1653442,3329623,1676550,1653073,3327298,1675389,1651909
"제주특별자치도",673974,338206,335768,674484,338422,336062,674877,338566,336311
