버거킹,KFC,맥도날드,롯데리아,BKM,버거지수,주소,주소1,주소2
1,0,1,6,2,0.3333333333333333,강원도 강릉시,강원도,강릉시
1,0,1,3,2,0.6666666666666666,강원도 속초시,강원도,속초시
3,1,2,15,6,0.4,강원도 원주시,강원도,원주시
2,2,2,7,6,0.8571428571428571,강원도 춘천시,강원도,춘천시
2,0,0,2,2,1.0,강원도 홍천군,강원도,홍천군
9,5,11,23,25,1.0869565217391304,경기도 고양시,경기도,고양시
1,0,1,3,2,0.6666666666666666,경기도 과천시,경기도,과천시
1,2,5,5,8,1.6,경기도 광명시,경기도,광명시
2,0,0,7,2,0.2857142857142857,경기도 광주시,경기도,광주시
2,1,3,4,6,1.5,경기도 구리시,경기도,구리시
1,2,3,4,6,1.5,경기도 군포시,경기도,군포시
4,2,3,11,9,0.8181818181818182,경기도 김포시,경기도,김포시
4,1,4,15,9,0.6,경기도 남양주시,경기도,남양주시
1,0,1,2,2,1.0,경기도 동두천시,경기도,동두천시
6,4,6,17,16,0.9411764705882353,경기도 부천시,경기도,부천시
8,7,8,12,23,1.9166666666666667,경기도 성남시,경기도,성남시
12,5,11,30,28,0.9333333333333333,경기도 수원시,경기도,수원시
4,0,2,19,6,0.3157894736842105,경기도 시흥시,경기도,시흥시
4,1,2,15,7,0.4666666666666667,경기도 안산시,경기도,안산시
1,1,1,7,3,0.42857142857142855,경기도 안성시,경기도,안성시
3,3,3,14,9,0.6428571428571429,경기도 안양시,경기도,안양시
2,1,2,6,5,0.8333333333333334,경기도 양주시,경기도,양주시
1,0,0,2,1,0.5,경기도 양평군,경기도,양평군
3,1,2,4,6,1.5,경기도 오산시,경기도,오산시
5,4,9,24,18,0.75,경기도 용인시,경기도,용인시
6,2,5,12,13,1.0833333333333333,경기도 의정부시,경기도,의정부시
2,1,2,7,5,0.7142857142857143,경기도 이천시,경기도,이천시
2,3,0,14,5,0.35714285714285715,경기도 파주시,경기도,파주시
5,1,5,14,11,0.7857142857142857,경기도 평택시,경기도,평택시
1,0,1,5,2,0.4,경기도 포천시,경기도,포천시
2,2,1,5,5,1.0,경기도 하남시,경기도,하남시
8,1,4,23,13,0.5652173913043478,경기도 화성시,경기도,화성시
3,0,2,7,5,0.7142857142857143,경상남도 거제시,경상남도,거제시
6,1,4,12,11,0.9166666666666666,경상남도 김해시,경상남도,김해시
2,0,1,2,3,1.5,경상남도 사천시,경상남도,사천시
3,1,4,8,8,1.0,경상남도 양산시,경상남도,양산시
3,0,4,12,7,0.5833333333333334,경상남도 진주시,경상남도,진주시
7,2,12,28,21,0.75,경상남도 창원시,경상남도,창원시
4,1,0,6,5,0.8333333333333334,경상북도 경산시,경상북도,경산시
3,0,4,6,7,1.1666666666666667,경상북도 경주시,경상북도,경주시
6,1,4,16,11,0.6875,경상북도 구미시,경상북도,구미시
2,0,1,3,3,1.0,경상북도 김천시,경상북도,김천시
1,0,0,1,1,1.0,경상북도 상주시,경상북도,상주시
3,0,0,6,3,0.5,경상북도 안동시,경상북도,안동시
1,0,0,4,1,0.25,경상북도 영주시,경상북도,영주시
5,2,5,10,12,1.2,경상북도 포항시,경상북도,포항시
