버거킹,KFC,맥도날드,롯데리아,BKM,버거지수,주소,주소1,주소2,인구수,면적,인구밀도
1.0,0.0,1.0,6.0,2.0,0.3333333333333333,강원도 강릉시,강원도,강릉시,213442,1040.783864,205.07812177226452
1.0,0.0,1.0,3.0,2.0,0.6666666666666666,강원도 속초시,강원도,속초시,81786,105.760448,773.3136682628274
3.0,1.0,2.0,15.0,6.0,0.4,강원도 원주시,강원도,원주시,349215,868.240238,402.2101081198681
2.0,2.0,2.0,7.0,6.0,0.8571428571428571,강원도 춘천시,강원도,춘천시,281291,1116.3739,251.96844892199647
2.0,0.0,0.0,2.0,2.0,1.0,강원도 홍천군,강원도,홍천군,69150,1820.310462,37.98802536355472
9.0,5.0,11.0,23.0,25.0,1.0869565217391304,경기도 고양시,경기도,고양시,1066351,268.08833,3977.610662873688
1.0,0.0,1.0,3.0,2.0,0.6666666666666666,경기도 과천시,경기도,과천시,58289,35.868319,1625.0831269789924
1.0,2.0,5.0,5.0,8.0,1.6,경기도 광명시,경기도,광명시,316552,38.526428,8216.48973011461
2.0,0.0,0.0,7.0,2.0,0.2857142857142857,경기도 광주시,경기도,광주시,372654,430.990347,864.6458153736794
2.0,1.0,3.0,4.0,6.0,1.5,경기도 구리시,경기도,구리시,199265,33.325064,5979.4333778323735
1.0,2.0,3.0,4.0,6.0,1.5,경기도 군포시,경기도,군포시,275852,36.416854,7574.844328947251
4.0,2.0,3.0,11.0,9.0,0.8181818181818182,경기도 김포시,경기도,김포시,437221,276.612088,1580.6286817082266
4.0,1.0,4.0,15.0,9.0,0.6,경기도 남양주시,경기도,남양주시,701830,458.11547,1531.993669630934
1.0,0.0,1.0,2.0,2.0,1.0,경기도 동두천시,경기도,동두천시,94768,95.664308,990.6306958285842
6.0,4.0,6.0,17.0,16.0,0.9411764705882353,경기도 부천시,경기도,부천시,829996,53.446246,15529.547201500363
8.0,7.0,8.0,12.0,23.0,1.9166666666666667,경기도 성남시,경기도,성남시,942724,141.63307,6656.100866838514
12.0,5.0,11.0,30.0,28.0,0.9333333333333333,경기도 수원시,경기도,수원시,1194465,121.092176,9864.09724770327
4.0,0.0,2.0,19.0,6.0,0.3157894736842105,경기도 시흥시,경기도,시흥시,473682,138.660046,3416.139065755106
4.0,1.0,2.0,15.0,7.0,0.4666666666666667,경기도 안산시,경기도,안산시,650918,155.730955,4179.759894235543
