버거킹,KFC,맥도날드,롯데리아,버거지수,시도별,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,인구,인구밀도
9,3,7,54,12.12962962962963,강원도,32061,29392,18997,16811,1515,90
100,50,96,317,150.30283911671924,경기도,36133,38466,20482,17399,13405,1315
24,4,29,87,28.333333333333332,경상남도,33690,32140,18939,16426,3350,318
25,4,15,68,29.220588235294116,경상북도,40272,34873,18611,16217,2655,140
15,3,10,42,18.238095238095237,광주광역시,27548,30964,20532,18231,1488,2969
20,10,25,66,30.37878787878788,대구광역시,23744,27798,19210,17850,2419,2738
14,5,13,51,19.254901960784313,대전광역시,28364,31548,20498,18025,1500,2780
20,9,41,82,29.5,부산광역시,27409,29388,19680,18030,3344,4342
111,73,96,181,184.5303867403315,서울특별시,44865,49121,23440,21891,9602,15865
0,1,0,10,1.0,세종특별자치시,35826,36983,19789,16762,349,750
9,2,10,31,11.32258064516129,울산광역시,65352,54969,22550,18482,1140,1073
23,11,18,74,34.24324324324324,인천광역시,30425,32571,19332,16451,2951,2770
7,2,8,51,9.156862745098039,전라남도,43323,35532,18711,16104,1764,143
13,2,11,53,15.20754716981132,전라북도,28740,28260,18725,16022,1792,222
1,1,8,14,2.571428571428571,제주특별자치도,30720,30834,18734,16953,670,362
9,5,10,66,14.151515151515152,충청남도,52402,40953,18955,16037,2204,267
10,2,8,57,12.140350877192983,충청북도,42653,34484,18823,15802,1632,220
